#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_10_length_8714_cov_24.537324_component_0	21	128	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_10_length_8714_cov_24.537324_component_0	727	1632	(MLS)Erm42	1-906/906	===============	0/0	100.00	99.67	argannot	FR734406:1-906	(MLS)Erm42
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_11_length_6850_cov_23.916406_component_0	1	438	(Sul)SulI	403-840/840	.......========	0/0	52.14	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_11_length_6850_cov_23.916406_component_0	5749	6654	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_11_length_6850_cov_23.916406_component_0	6724	6830	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_12_length_5927_cov_25.155345_component_0	161	1021	(AGly)Aac3-IId	1-861/861	===============	0/0	100.00	99.88	argannot	EU022314:1-861	(AGly)Aac3-IId
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_13_length_5767_cov_24.599291_component_0	4758	5417	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_16_length_1474_cov_23.050593_component_0	2	877	(Bla)CTX-M-14	1-876/876	===============	0/0	100.00	100.00	argannot	AF252622:1741-2616	(Bla)CTX-M-14
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_17_length_1294_cov_23.107969_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_17_length_1294_cov_23.107969_component_0	265	1080	(AGly)Aph3-Ia	1-816/816	===============	0/0	100.00	99.88	argannot	HQ840942:23569-24384	(AGly)Aph3-Ia
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_21_length_713_cov_203.684300_component_0	1	107	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_22_length_655_cov_30.532197_component_0	531	637	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_5_length_13991_cov_24.085690_component_0	528	1364	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_5_length_13991_cov_24.085690_component_0	1364	2167	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_5_length_13991_cov_24.085690_component_0	2228	3043	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_9_length_8722_cov_27.825131_component_0	150	905	(AGly)RmtB	1-756/756	===============	0/0	100.00	100.00	argannot	AB103506:1410-2165	(AGly)RmtB
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_9_length_8722_cov_27.825131_component_0	4610	5785	(Tet)TetG	1-1176/1176	===============	0/0	100.00	100.00	argannot	AF133140:757-1932	(Tet)TetG
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_9_length_8722_cov_27.825131_component_0	5889	6497	(Tet)TetR(G)	1-609/633	===============	0/0	96.21	98.52	argannot	S52438:113-745	(Tet)TetR(G)
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_9_length_8722_cov_27.825131_component_0	6723	7936	(Phe)FloR	1-1214/1215	===============	0/0	99.92	86.74	argannot	AKLJ01000508:383-1597	(Phe)FloR
/home/murilo/plasmids2/MI_536/contigs.fasta	NODE_9_length_8722_cov_27.825131_component_0	8596	8722	(Sul)SulI	403-529/840	.......===.....	0/0	15.12	100.00	argannot	AF071413:6700-7539	(Sul)SulI
