#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_109_length_323_cov_258.284553	1	323	(Bla)TEM-129	151-473/861	..=======......	0/0	37.51	100.00	argannot	AY452662:184-1044	(Bla)TEM-129
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_116_length_283_cov_407.208738	57	283	(Bla)TEM-112	1-227/861	====...........	0/0	26.36	100.00	argannot	AY589493:167-1027	(Bla)TEM-112
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_141.968384	81533	83434	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.39	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_163_length_155_cov_264.448718	1	155	(Bla)TEM-10	319-473/808	.....====......	0/0	19.18	100.00	argannot	U09188:198-1005	(Bla)TEM-10
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_165_length_155_cov_253.358974	1	155	(Bla)TEM-112	151-305/861	..====.........	0/0	18.00	100.00	argannot	AY589493:167-1027	(Bla)TEM-112
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_180_length_153_cov_78.592105	1	78	(Phe)CatB4	441-518/549	............===	0/0	14.21	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_31_length_38307_cov_259.158017	37417	37941	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_31_length_38307_cov_259.158017	38231	38307	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_32_length_38132_cov_277.725319	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_40_length_26379_cov_81.293780	23520	24335	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/MI_88/SPADES/scaffolds.fasta	NODE_40_length_26379_cov_81.293780	24396	25199	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
