#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	104682	105427	entA	2-747/747	========/======	5/8	99.33	80.40	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	105437	106288	entB	1-858/858	========/======	4/8	99.18	82.31	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	106321	107906	entE	7-1592/1611	========/======	2/2	98.39	76.94	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	109328	110214	fepB	46-932/957	===============	0/0	92.69	77.11	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	110594	111744	entS	1-1151/1251	========/=====.	5/6	91.77	77.90	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	111890	112858	fepD	46-1011/1017	========/======	3/7	94.79	75.59	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	112972	113853	fepG	112-993/993	.=======/======	2/2	88.72	79.61	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	113866	114637	fepC	17-788/816	===============	0/0	94.61	80.83	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_11_length_162699_cov_130.001543	120300	122528	fepA	1-2241/2241	========/======	22/64	98.30	77.94	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_1_length_359916_cov_140.373514	111443	112010	fimE	9-576/597	===============	0/0	95.14	75.70	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_1_length_359916_cov_140.373514	112506	113063	fimA	42-599/606	========/======	2/2	91.91	75.31	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_23_length_96112_cov_138.425210	20987	21137	xcpA/pilD	541-691/873	.........===...	0/0	17.30	76.82	vfdb	NP_253218	(xcpA/pilD) type 4 prepilin peptidase PilD [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_23_length_96112_cov_138.425210	28645	29529	xcpR	307-1191/1509	..======/====..	10/16	58.12	75.36	vfdb	NP_251793	(xcpR) general secretion pathway protein E [xcp secretion system (VF0084)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_25_length_77194_cov_148.443560	25339	25649	mgtB	872-1182/2727	....===........	0/0	11.40	75.56	vfdb	NP_462662	(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_2_length_307291_cov_116.889221	128726	129796	ompA	1-1041/1041	========/======	2/30	100.00	83.85	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	29078	31099	fyuA	1-2022/2022	===============	0/0	100.00	99.95	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	31230	32807	ybtE	1-1578/1578	===============	0/0	100.00	99.68	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	32811	33614	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	33611	34711	ybtU	1-1101/1101	===============	0/0	100.00	99.64	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	34708	44199	irp1	1-9492/9492	===============	0/0	100.00	99.75	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	44287	50394	irp2	1-6108/6108	===============	0/0	100.00	99.74	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_32_length_51224_cov_38.145150	50585	51224	ybtA	321-960/960	.....==========	0/0	66.67	99.69	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_33_length_49724_cov_88.997986	36241	36728	mgtC	22-509/696	===========....	0/0	70.11	76.23	vfdb	NP_462663	(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	196097	196850	yagV/ecpE	3-756/756	===============	0/0	99.74	85.15	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	196776	198419	yagW/ecpD	1-1644/1644	===============	0/0	100.00	88.81	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	198409	200934	yagX/ecpC	1-2526/2526	========/======	2/2	99.96	87.65	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	200960	201628	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	201691	202274	yagZ/ecpA	1-584/588	===============	0/0	99.32	89.90	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_6_length_218808_cov_134.253220	202349	202929	ykgK/ecpR	11-591/591	===============	0/0	98.31	86.58	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_80_length_9059_cov_115.808729	2224	3528	ybtS	1-1305/1305	===============	0/0	100.00	97.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
