#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	1	690	ybtA	271-960/960	....===========	0/0	71.88	99.71	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	881	6988	irp2	1-6108/6108	===============	0/0	100.00	99.74	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	7076	16567	irp1	1-9492/9492	===============	0/0	100.00	99.75	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	16564	17664	ybtU	1-1101/1101	===============	0/0	100.00	99.64	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	17661	18464	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	18468	20045	ybtE	1-1578/1578	===============	0/0	100.00	99.68	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	20176	22197	fyuA	1-2022/2022	===============	0/0	100.00	99.95	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	67538	68842	ybtS	1-1305/1305	===============	0/0	100.00	97.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	68870	70150	ybtX	1-1281/1281	===============	0/0	100.00	97.58	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	70143	71945	ybtQ	1-1803/1803	===============	0/0	100.00	99.89	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	71932	73734	ybtP	1-1803/1803	===============	0/0	100.00	99.56	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/plasmids2/URO_353/contigs.fasta	NODE_2_length_74297_cov_25.389484_component_1	73901	74297	ybtA	1-397/960	=======........	0/0	41.35	99.50	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
