#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_149_length_153_cov_87.881579	76	153	(Phe)CatB4	441-518/549	............===	0/0	14.21	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_14_length_198645_cov_105.077797	82037	83938	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.39	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_15_length_157591_cov_80.666347	149590	150450	(Bla)SHV-11	1-861/861	===============	0/0	100.00	100.00	argannot	HM751098:1-861	(Bla)SHV-11
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_190_length_78_cov_153.000000	1	75	(Phe)CatB4	443-517/549	............===	0/0	13.66	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_34_length_45969_cov_141.986948	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_34_length_45969_cov_141.986948	367	891	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_34_length_45969_cov_141.986948	39202	40083	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_3_length_325347_cov_108.070252	107731	108891	(Bla)AmpH	1-1161/1161	===============	0/0	100.00	98.88	argannot	CP003785:4208384-4209544	(Bla)AmpH
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_45_length_13758_cov_76.608216	10899	11714	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_45_length_13758_cov_76.608216	11775	12578	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_45_length_13758_cov_76.608216	12578	13414	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/genomes2/MI_306/SPADES/scaffolds.fasta	NODE_52_length_8622_cov_86.941954	1	77	(Sul)SulI	453-529/840	........==.....	0/0	9.17	100.00	argannot	AF071413:6700-7539	(Sul)SulI
