#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_11_length_198689_cov_30.677165	90677	90987	mgtB	872-1182/2727	....===........	0/0	11.40	75.56	vfdb	NP_462662	(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_12_length_196867_cov_29.055074	58504	59574	ompA	1-1041/1041	========/======	2/30	100.00	83.85	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	27863	30091	fepA	1-2241/2241	========/======	22/64	98.30	77.94	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	35754	36525	fepC	17-788/816	===============	0/0	94.61	80.83	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	36538	37419	fepG	112-993/993	.=======/======	2/2	88.72	79.61	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	37533	38501	fepD	46-1011/1017	========/======	3/7	94.79	75.59	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	38647	39797	entS	1-1151/1251	========/=====.	5/6	91.77	77.90	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	40217	41103	fepB	46-932/957	===============	0/0	92.69	77.11	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	42525	44110	entE	7-1592/1611	========/======	2/2	98.39	76.94	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	44143	44994	entB	1-858/858	========/======	4/8	99.18	82.31	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	45004	45749	entA	2-747/747	========/======	5/8	99.33	80.40	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1_length_560355_cov_30.092085	110652	111219	fimE	9-576/597	===============	0/0	95.14	75.70	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1_length_560355_cov_30.092085	111715	112272	fimA	42-599/606	========/======	2/2	91.91	75.31	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_22_length_95636_cov_29.384391	20987	21137	xcpA/pilD	541-691/873	.........===...	0/0	17.30	76.82	vfdb	NP_253218	(xcpA/pilD) type 4 prepilin peptidase PilD [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_22_length_95636_cov_29.384391	28468	29352	xcpR	307-1191/1509	..======/====..	10/16	58.12	75.36	vfdb	NP_251793	(xcpR) general secretion pathway protein E [xcp secretion system (VF0084)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_26_length_69790_cov_27.409708	58148	58635	mgtC	22-509/696	===========....	0/0	70.11	76.03	vfdb	NP_462663	(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_4_length_324798_cov_29.405865	78692	79272	ykgK/ecpR	11-591/591	===============	0/0	98.31	86.58	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_4_length_324798_cov_29.405865	79347	79930	yagZ/ecpA	1-584/588	===============	0/0	99.32	89.90	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_4_length_324798_cov_29.405865	79993	80661	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_4_length_324798_cov_29.405865	80687	83212	yagX/ecpC	1-2526/2526	========/======	2/2	99.96	87.65	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_4_length_324798_cov_29.405865	83202	84845	yagW/ecpD	1-1644/1644	===============	0/0	100.00	88.81	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
