#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_12_length_198645_cov_145.092094	82037	83938	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.39	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_173_length_153_cov_92.855263	76	153	(Phe)CatB4	441-518/549	............===	0/0	14.21	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_39_length_26379_cov_81.316440	23520	24335	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_39_length_26379_cov_81.316440	24396	25199	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_39_length_26379_cov_81.316440	25199	26035	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_41_length_25340_cov_197.311879	5827	6708	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_45_length_20724_cov_198.345958	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_45_length_20724_cov_198.345958	367	891	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_48_length_17551_cov_119.466808	9554	10414	(Bla)SHV-11	1-861/861	===============	0/0	100.00	100.00	argannot	HM751098:1-861	(Bla)SHV-11
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_54_length_9386_cov_71.284241	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_54_length_9386_cov_71.284241	147	1052	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_54_length_9386_cov_71.284241	6363	7202	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_54_length_9386_cov_71.284241	7707	8486	(AGly)AadA2	1-780/780	===============	0/0	100.00	99.87	argannot	X68227:66-945	(AGly)AadA2
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_54_length_9386_cov_71.284241	8906	9386	(Tmt)DfrA12	18-498/498	===============	0/0	96.59	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/genomes2/URO_425/SPADES/scaffolds.fasta	NODE_57_length_7970_cov_88.236792	100	855	(AGly)RmtB	1-756/756	===============	0/0	100.00	100.00	argannot	AB103506:1410-2165	(AGly)RmtB
