#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_119_length_154_cov_128.025974	78	154	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	42561	43721	(Bla)AmpH	1-1161/1161	===============	0/0	100.00	98.88	argannot	CP003785:4208384-4209544	(Bla)AmpH
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_12_length_157255_cov_80.517273	130569	131429	(Bla)SHV-11	1-861/861	===============	0/0	100.00	100.00	argannot	HM751098:1-861	(Bla)SHV-11
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_19_length_123589_cov_82.877267	123397	123464	(Bla)CTX-M-66	1-68/876	==.............	0/0	7.76	98.53	argannot	EF576988:1-876	(Bla)CTX-M-66
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_3_length_272768_cov_103.048461	61692	62867	(Flq)OqxA	1-1176/1176	===============	0/0	100.00	100.00	argannot	EU370913:46652-47827	(Flq)OqxA
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_3_length_272768_cov_103.048461	62891	66043	(Flq)OqxBgb	1-3153/3153	===============	0/0	100.00	100.00	argannot	EU370913:47851-51003	(Flq)OqxBgb
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	147	1052	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	6363	7202	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	7766	8218	(Rif)Arr3	1-453/453	===============	0/0	100.00	100.00	argannot	JF806499:1353-1805	(Rif)Arr3
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	8303	8935	(Phe)CatB3	1-633/633	===============	0/0	100.00	99.84	argannot	AJ009818:883-1515	(Phe)CatB3
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	9073	9903	(Bla)OXA-1	1-831/831	===============	0/0	100.00	100.00	argannot	JQ682867:1-831	(Bla)OXA-1
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_46_length_12856_cov_131.434463	10034	10621	(AGly)Ant3''Ih-Aac6-IId	805-1392/1392	........=======	0/0	42.24	99.49	argannot	AF453998:3555-4946	(AGly)Ant3''Ih-Aac6-IId
