#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	13850	14430	ykgK/ecpR	11-591/591	===============	0/0	98.31	86.58	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	14505	15088	yagZ/ecpA	1-584/588	===============	0/0	99.32	89.90	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	15151	15819	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	15845	18370	yagX/ecpC	1-2526/2526	========/======	2/2	99.96	87.65	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	18360	20003	yagW/ecpD	1-1644/1644	===============	0/0	100.00	88.81	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_11_length_177480_cov_103.711893	19929	20682	yagV/ecpE	3-756/756	===============	0/0	99.74	85.15	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_14_length_141586_cov_86.360564	72804	74825	fyuA	1-2022/2022	===============	0/0	100.00	99.95	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_14_length_141586_cov_86.360564	74956	76533	ybtE	1-1578/1578	===============	0/0	100.00	99.68	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_14_length_141586_cov_86.360564	76537	77340	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MIII_62/SPADES/scaffolds.fasta	NODE_14_length_141586_cov_86.360564	77337	78437	ybtU	1-1101/1101	===============	0/0	100.00	99.64	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
