#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_108_length_9386_cov_34.503814	1	481	(Tmt)DfrA12	18-498/498	===============	0/0	96.59	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_108_length_9386_cov_34.503814	901	1680	(AGly)AadA2	1-780/780	===============	0/0	100.00	99.87	argannot	X68227:66-945	(AGly)AadA2
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_108_length_9386_cov_34.503814	2185	3024	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_108_length_9386_cov_34.503814	8335	9240	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_108_length_9386_cov_34.503814	9310	9386	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_113_length_7970_cov_46.546180	1	77	(Tmt)DfrA12	18-94/498	===............	0/0	15.46	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_113_length_7970_cov_46.546180	85	1298	(Phe)FloR	1-1214/1215	===============	0/0	99.92	86.74	argannot	AKLJ01000508:383-1597	(Phe)FloR
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_113_length_7970_cov_46.546180	1524	2132	(Tet)TetR(G)	1-609/633	===============	0/0	96.21	98.52	argannot	S52438:113-745	(Tet)TetR(G)
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_113_length_7970_cov_46.546180	2236	3411	(Tet)TetG	1-1176/1176	===============	0/0	100.00	100.00	argannot	AF133140:757-1932	(Tet)TetG
/home/murilo/genomes2/Hemo_989/SPADES/scaffolds.fasta	NODE_113_length_7970_cov_46.546180	7116	7871	(AGly)RmtB	1-756/756	===============	0/0	100.00	100.00	argannot	AB103506:1410-2165	(AGly)RmtB
