#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_10_length_9486_cov_23.526766_component_0	34	531	(Tmt)DfrA12	1-498/498	===============	0/0	100.00	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_10_length_9486_cov_23.526766_component_0	951	1730	(AGly)AadA2	1-780/780	===============	0/0	100.00	99.87	argannot	X68227:66-945	(AGly)AadA2
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_10_length_9486_cov_23.526766_component_0	2235	3074	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_10_length_9486_cov_23.526766_component_0	8385	9290	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_10_length_9486_cov_23.526766_component_0	9360	9466	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_12_length_8069_cov_31.343113_component_0	34	127	(Tmt)DfrA12	1-94/498	===............	0/0	18.88	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_12_length_8069_cov_31.343113_component_0	135	1348	(Phe)FloR	1-1214/1215	===============	0/0	99.92	86.74	argannot	AKLJ01000508:383-1597	(Phe)FloR
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_12_length_8069_cov_31.343113_component_0	1574	2182	(Tet)TetR(G)	1-609/633	===============	0/0	96.21	98.52	argannot	S52438:113-745	(Tet)TetR(G)
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_12_length_8069_cov_31.343113_component_0	2286	3461	(Tet)TetG	1-1176/1176	===============	0/0	100.00	100.00	argannot	AF133140:757-1932	(Tet)TetG
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_12_length_8069_cov_31.343113_component_0	7166	7921	(AGly)RmtB	1-756/756	===============	0/0	100.00	100.00	argannot	AB103506:1410-2165	(AGly)RmtB
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_15_length_5944_cov_30.359807_component_0	162	1022	(AGly)Aac3-IId	1-861/861	===============	0/0	100.00	99.88	argannot	EU022314:1-861	(AGly)Aac3-IId
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_18_length_4120_cov_76.988730_component_0	303	1184	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_20_length_1969_cov_27.774701_component_0	21	128	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_20_length_1969_cov_27.774701_component_0	727	1632	(MLS)Erm42	1-906/906	===============	0/0	100.00	99.67	argannot	FR734406:1-906	(MLS)Erm42
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_22_length_1474_cov_27.105559_component_0	598	1473	(Bla)CTX-M-14	1-876/876	===============	0/0	100.00	100.00	argannot	AF252622:1741-2616	(Bla)CTX-M-14
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_24_length_1293_cov_21.432247_component_0	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_24_length_1293_cov_21.432247_component_0	264	1079	(AGly)Aph3-Ia	1-816/816	===============	0/0	100.00	99.88	argannot	HQ840942:23569-24384	(AGly)Aph3-Ia
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_27_length_713_cov_205.116041_component_0	607	713	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_29_length_405_cov_24.197842_component_0	281	387	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_5_length_39076_cov_70.973170_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_5_length_39076_cov_70.973170_component_0	417	941	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_6_length_38732_cov_24.733377_component_0	4758	5417	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_8_length_26611_cov_28.139405_component_0	23569	24384	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_8_length_26611_cov_28.139405_component_0	24445	25248	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/plasmids2/Hemo_736/contigs.fasta	NODE_8_length_26611_cov_28.139405_component_0	25248	26084	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)StrB
