#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_11_length_2854_cov_25.477081_component_0	171	1031	(AGly)Aac3-IIa	1-861/861	===============	0/0	100.00	99.77	argannot	X51534:91-951	(AGly)Aac3-IIa
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_11_length_2854_cov_25.477081_component_0	2728	2834	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_13_length_1291_cov_23.179553_component_0	215	1030	(AGly)Aph3-Ia	1-816/816	===============	0/0	100.00	99.88	argannot	HQ840942:23569-24384	(AGly)Aph3-Ia
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_13_length_1291_cov_23.179553_component_0	1168	1274	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_14_length_1203_cov_26.325279_component_0	1078	1184	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_15_length_684_cov_353.233393_component_0	1	107	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_16_length_282_cov_93.606452_component_0	156	263	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_17_length_254_cov_22.393701_component_0	1	69	(AGly)Ant3''Ih-Aac6-IId	805-873/1392	........==.....	0/0	4.96	100.00	argannot	AF453998:3555-4946	(AGly)Ant3''Ih-Aac6-IId
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_17_length_254_cov_22.393701_component_0	128	234	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_19_length_128_cov_74.000000_component_0	1	108	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_4_length_10822_cov_2.153249_component_2	4606	5487	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_7_length_8230_cov_30.621375_component_0	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_7_length_8230_cov_30.621375_component_0	855	1534	(Flq)QnrB1	1-681/681	========/======	1/1	99.85	99.85	argannot	DQ351241:1-681	(Flq)QnrB1
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_8_length_4578_cov_27.875534_component_0	20	127	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_9_length_4135_cov_74.340070_component_0	1706	1766	(AGly)Aac3-Ib	1-61/531	==.............	0/0	11.49	98.36	argannot	L06157:555-1085	(AGly)Aac3-Ib
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_9_length_4135_cov_74.340070_component_0	1882	2469	(AGly)Ant3''Ih-Aac6-IId	805-1392/1392	........=======	0/0	42.24	99.49	argannot	AF453998:3555-4946	(AGly)Ant3''Ih-Aac6-IId
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_9_length_4135_cov_74.340070_component_0	2600	3430	(Bla)OXA-1	1-831/831	===============	0/0	100.00	100.00	argannot	JQ682867:1-831	(Bla)OXA-1
/home/murilo/plasmids2/MI_209/contigs.fasta	NODE_9_length_4135_cov_74.340070_component_0	3568	4116	(Phe)CatB4	1-549/549	===============	0/0	100.00	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
