#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_10_length_1555_cov_165.758403_component_0	210	1085	(Bla)CTX-M-15	1-876/876	===============	0/0	100.00	100.00	argannot	JQ686199:261-1136	(Bla)CTX-M-15
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_12_length_820_cov_302.232323_component_0	714	820	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_13_length_254_cov_48.157480_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	197	1102	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	6413	7252	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	7816	8268	(Rif)Arr3	1-453/453	===============	0/0	100.00	100.00	argannot	JF806499:1353-1805	(Rif)Arr3
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	8353	8985	(Phe)CatB3	1-633/633	===============	0/0	100.00	99.84	argannot	AJ009818:883-1515	(Phe)CatB3
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	9123	9953	(Bla)OXA-1	1-831/831	===============	0/0	100.00	100.00	argannot	JQ682867:1-831	(Bla)OXA-1
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	10084	10671	(AGly)Ant3''Ih-Aac6-IId	805-1392/1392	........=======	0/0	42.24	99.49	argannot	AF453998:3555-4946	(AGly)Ant3''Ih-Aac6-IId
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	10787	10847	(AGly)Aac3-Ib	1-61/531	==.............	0/0	11.49	98.36	argannot	L06157:555-1085	(AGly)Aac3-Ib
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_2_length_12956_cov_54.327461_component_0	12829	12936	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_4_length_4985_cov_59.592837_component_0	20	127	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_4_length_4985_cov_59.592837_component_0	117	668	(Bla)TEM-141	311-861/861	.....===/======	1/1	64.00	99.46	argannot	AY956335:39-899	(Bla)TEM-141
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_4_length_4985_cov_59.592837_component_0	2597	3148	(Tmt)DfrA26	1-552/552	===============	0/0	100.00	100.00	argannot	AM403715:303-854	(Tmt)DfrA26
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_4_length_4985_cov_59.592837_component_0	3913	4728	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_4_length_4985_cov_59.592837_component_0	4859	4965	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/MIII_62/contigs.fasta	NODE_5_length_4959_cov_97.518212_component_0	4835	4941	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
