#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_11_length_199064_cov_47.094624	108078	108388	mgtB	872-1182/2727	....===........	0/0	11.40	75.56	vfdb	NP_462662	(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	140301	141046	entA	2-747/747	========/======	5/8	99.33	80.40	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	141056	141907	entB	1-858/858	========/======	4/8	99.18	82.31	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	141940	143525	entE	7-1592/1611	========/======	2/2	98.39	76.94	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	144947	145833	fepB	46-932/957	===============	0/0	92.69	77.11	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	146213	147363	entS	1-1151/1251	========/=====.	5/6	91.77	77.90	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	147509	148477	fepD	46-1011/1017	========/======	3/7	94.79	75.59	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	148591	149472	fepG	112-993/993	.=======/======	2/2	88.72	79.61	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	149485	150256	fepC	17-788/816	===============	0/0	94.61	80.83	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_12_length_198141_cov_45.724892	155919	158147	fepA	1-2241/2241	========/======	22/64	98.30	77.94	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_16_length_190602_cov_43.092019	127847	128917	ompA	1-1041/1041	========/======	2/30	100.00	83.85	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_1_length_560573_cov_46.373209	110870	111437	fimE	9-576/597	===============	0/0	95.14	75.70	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_1_length_560573_cov_46.373209	111933	112490	fimA	42-599/606	========/======	2/2	91.91	75.31	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	13047	15068	fyuA	1-2022/2022	===============	0/0	100.00	99.95	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	15199	16776	ybtE	1-1578/1578	===============	0/0	100.00	99.81	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	16780	17583	ybtT	1-804/804	===============	0/0	100.00	99.75	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	17580	18680	ybtU	1-1101/1101	===============	0/0	100.00	99.73	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	18677	28168	irp1	1-9492/9492	===============	0/0	100.00	99.36	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	28256	34363	irp2	1-6108/6108	===============	0/0	100.00	99.75	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	34554	35513	ybtA	1-960/960	===============	0/0	100.00	99.79	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	35680	37482	ybtP	1-1803/1803	===============	0/0	100.00	99.72	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	37469	39271	ybtQ	1-1803/1803	===============	0/0	100.00	99.89	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	39264	40544	ybtX	1-1281/1281	===============	0/0	100.00	97.74	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_20_length_169249_cov_38.977685	40572	41876	ybtS	1-1305/1305	===============	0/0	100.00	97.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_35_length_95636_cov_45.828975	20987	21137	xcpA/pilD	541-691/873	.........===...	0/0	17.30	76.82	vfdb	NP_253218	(xcpA/pilD) type 4 prepilin peptidase PilD [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_35_length_95636_cov_45.828975	28468	29352	xcpR	307-1191/1509	..======/====..	10/16	58.12	75.36	vfdb	NP_251793	(xcpR) general secretion pathway protein E [xcp secretion system (VF0084)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_3_length_325490_cov_44.469139	79020	79600	ykgK/ecpR	11-591/591	===============	0/0	98.31	86.58	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_3_length_325490_cov_44.469139	79675	80258	yagZ/ecpA	1-584/588	===============	0/0	99.32	89.90	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
/home/murilo/genomes2/MI_78/SPADES/scaffolds.fasta	NODE_3_length_325490_cov_44.469139	80321	80989	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]
