#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_102_length_5331_cov_99.542444	303	1118	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_102_length_5331_cov_99.542444	1179	1982	(AGly)StrA	1-804/804	===============	0/0	100.00	99.75	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_102_length_5331_cov_99.542444	1982	2119	(AGly)StrB	1-138/837	===............	0/0	16.49	100.00	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_102_length_5331_cov_99.542444	2218	2995	(AGly)StrB	60-837/837	.==============	0/0	92.95	99.87	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_102_length_5331_cov_99.542444	5255	5331	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_103_length_5244_cov_71.110315	3	109	(Phe)CatB4	443-549/549	............===	0/0	19.49	99.06	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_104_length_5148_cov_29.169395	2125	2964	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_104_length_5148_cov_29.169395	3469	4248	(AGly)AadA2	1-780/780	===============	0/0	100.00	99.87	argannot	X68227:66-945	(AGly)AadA2
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_104_length_5148_cov_29.169395	4668	5148	(Tmt)DfrA12	18-498/498	===============	0/0	96.59	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/genomes2/URO_353/SPADES/scaffolds.fasta	NODE_1058_length_155_cov_48.179487	1	155	(AGly)StrB	62-216/837	.===...........	0/0	18.52	100.00	argannot	FJ474091:264-1100	(AGly)StrB
