#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_106_length_232_cov_247.761290	1	77	(Phe)CatB4	443-519/549	............===	0/0	14.03	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_10_length_198141_cov_135.939752	81533	83434	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.39	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_19_length_128830_cov_118.228072	12082	12942	(Bla)SHV-11	1-861/861	===============	0/0	100.00	100.00	argannot	HM751098:1-861	(Bla)SHV-11
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_29_length_39675_cov_188.749962	34905	34961	(AGly)Aac3-Ib	1-57/531	==.............	0/0	10.73	100.00	argannot	L06157:555-1085	(AGly)Aac3-Ib
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_29_length_39675_cov_188.749962	34978	35451	(Tmt)DfrA30	1-474/474	===============	0/0	100.00	99.58	argannot	AM997279:705-1178	(Tmt)DfrA30
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_2_length_412718_cov_136.462564	107731	108891	(Bla)AmpH	1-1161/1161	===============	0/0	100.00	98.88	argannot	CP003785:4208384-4209544	(Bla)AmpH
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_46_length_7884_cov_220.266812	1994	2644	(Tet)TetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226	(Tet)TetR
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_46_length_7884_cov_220.266812	2675	3949	(Tet)TetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712	(Tet)TetA
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_47_length_7869_cov_415.978568	1924	2805	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
/home/murilo/genomes2/URO_1219/SPADES/scaffolds.fasta	NODE_48_length_7338_cov_76.977827	137	976	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
