#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_119_length_6340_cov_43.977306_component_0	155	976	(Bla)OXA-23	1-822/822	===============	0/0	100.00	100.00	argannot	EF120622:1499-2320	(Bla)OXA-23
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_125_length_6223_cov_4.634350_component_0	19	125	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_125_length_6223_cov_4.634350_component_0	195	1100	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_1285_length_1150_cov_18.031281_component_0	220	999	(AGly)AphA6	1-780/780	===============	0/0	100.00	99.74	argannot	JF949760:695-1474	(AGly)AphA6
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_135_length_5927_cov_4.957069_component_0	4907	5767	(AGly)Aac3-IId	1-861/861	===============	0/0	100.00	99.88	argannot	EU022314:1-861	(AGly)Aac3-IId
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_143_length_5683_cov_5.901008_component_0	327	986	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_149_length_5566_cov_28.832690_component_0	5259	5566	(Bla)OXA-107	1-308/825	======.........	0/0	37.33	100.00	argannot	EF650033:1-825	(Bla)OXA-107
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_15_length_27797_cov_21.774991_component_0	1872	2891	(Bla)BlaA1	1-1020/1020	===============	0/0	100.00	100.00	argannot	NC_010410:1803480-1804499	(Bla)BlaA1
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_161_length_5268_cov_22.002918_component_0	588	1283	(Bla)Mbl	1-696/696	===============	0/0	100.00	100.00	argannot	NC_010410:c1997136-1996441	(Bla)Mbl
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_173_length_5011_cov_44.849918_component_2	547	2022	(MLS)MsrE	1-1476/1476	===============	0/0	100.00	100.00	argannot	JF769133:7246-8721	(MLS)MsrE
/home/murilo/plasmids2/Hemo_536/contigs.fasta	NODE_173_length_5011_cov_44.849918_component_2	2078	2962	(MLS)MphE	1-885/885	===============	0/0	100.00	99.89	argannot	JF769133:8777-9661	(MLS)MphE
