#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_11_length_1474_cov_31.918801_component_0	598	1473	(Bla)CTX-M-14	1-876/876	===============	0/0	100.00	100.00	argannot	AF252622:1741-2616	(Bla)CTX-M-14
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_12_length_1377_cov_32.055200_component_0	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_12_length_1377_cov_32.055200_component_0	264	1079	(AGly)Aph3-Ia	1-816/816	===============	0/0	100.00	99.88	argannot	HQ840942:23569-24384	(AGly)Aph3-Ia
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_14_length_1161_cov_63.382012_component_0	140	1000	(Bla)TEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075	(Bla)TEM-105
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_16_length_713_cov_255.708191_component_0	607	713	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_17_length_657_cov_48.743396_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_2_length_41050_cov_29.570828_component_0	35634	36293	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_3_length_32651_cov_87.589472_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_3_length_32651_cov_87.589472_component_0	417	941	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/plasmids2/URO_199/contigs.fasta	NODE_7_length_6516_cov_91.970887_component_0	431	1312	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
