#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1001_length_1186_cov_77.865645	47	1186	(Bla)beta-lactamase_class-C	1-1140/1191	===============	0/0	95.72	97.46	argannot	NC_010410:1184557-1185747	(Bla)beta-lactamase_class-C
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_104_length_10954_cov_11.924887	1	56	(Sul)SulII	1-56/816	==.............	0/0	6.86	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1175_length_1048_cov_41.144181	100	879	(AGly)AphA6	1-780/780	===============	0/0	100.00	99.74	argannot	JF949760:695-1474	(AGly)AphA6
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1274_length_996_cov_23.105550	90	950	(Bla)TEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075	(Bla)TEM-105
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1300_length_981_cov_103.471239	453	981	(Sul)SulI	1-529/840	==========.....	0/0	62.98	99.81	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_139_length_8621_cov_13.730454	1	77	(Sul)SulI	453-529/840	........==.....	0/0	9.17	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_139_length_8621_cov_13.730454	737	1950	(Phe)FloR	1-1214/1215	===============	0/0	99.92	86.74	argannot	AKLJ01000508:383-1597	(Phe)FloR
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_139_length_8621_cov_13.730454	2176	2784	(Tet)TetR(G)	1-609/633	===============	0/0	96.21	98.52	argannot	S52438:113-745	(Tet)TetR(G)
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_139_length_8621_cov_13.730454	2888	4063	(Tet)TetG	1-1176/1176	===============	0/0	100.00	100.00	argannot	AF133140:757-1932	(Tet)TetG
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_139_length_8621_cov_13.730454	7768	8523	(AGly)RmtB	1-756/756	===============	0/0	100.00	100.00	argannot	AB103506:1410-2165	(AGly)RmtB
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_13_length_187064_cov_29.919075	102616	104517	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.39	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_14_length_157591_cov_27.049596	7142	8002	(Bla)SHV-11	1-861/861	===============	0/0	100.00	100.00	argannot	HM751098:1-861	(Bla)SHV-11
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1533_length_869_cov_25.601010	33	848	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_169_length_6748_cov_18.383451	1	388	(Sul)SulI	453-840/840	........=======	0/0	46.19	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_169_length_6748_cov_18.383451	5699	6604	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_169_length_6748_cov_18.383451	6674	6748	(Phe)CatB4	443-517/549	............===	0/0	13.66	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_176_length_6518_cov_83.527403	1	78	(Phe)CatB4	442-519/549	............===	0/0	14.21	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_194_length_5977_cov_12.037458	4873	5733	(AGly)Aac3-IId	1-861/861	===============	0/0	100.00	99.88	argannot	EU022314:1-861	(AGly)Aac3-IId
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_1997_length_696_cov_97.116317	1	486	(Bla)Zn-dependent_hydrolase	478-963/963	.......========	0/0	50.47	100.00	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_204_length_5667_cov_14.139356	4708	5367	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_2161_length_652_cov_54.843478	261	652	(Bla)OXA-110	434-825/825	.......========	0/0	47.52	100.00	argannot	EF650036:1-825	(Bla)OXA-110
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_239_length_4911_cov_107.595573	2000	2884	(MLS)MphE	1-885/885	===============	0/0	100.00	99.89	argannot	JF769133:8777-9661	(MLS)MphE
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_239_length_4911_cov_107.595573	2940	4415	(MLS)MsrE	1-1476/1476	===============	0/0	100.00	100.00	argannot	JF769133:7246-8721	(MLS)MsrE
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_263_length_4516_cov_15.330029	660	1865	(Tet)TetB	1-1206/1206	===============	0/0	100.00	99.75	argannot	AB089594:1-1206	(Tet)TetB
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_271_length_4433_cov_53.166896	27	722	(Bla)Mbl	1-696/696	===============	0/0	100.00	100.00	argannot	NC_010410:c1997136-1996441	(Bla)Mbl
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_281_length_4293_cov_21.993833	2947	4221	(Bla)BlaA2	1-1275/1275	===============	0/0	100.00	95.69	argannot	NC_010410:2507740-2509014	(Bla)BlaA2
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_295_length_4163_cov_11.837494	2584	3489	(MLS)Erm42	1-906/906	===============	0/0	100.00	99.67	argannot	FR734406:1-906	(MLS)Erm42
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_295_length_4163_cov_11.837494	4088	4163	(Phe)CatB4	442-517/549	............===	0/0	13.84	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/genomes2/Hemo_536/SPADES/scaffolds.fasta	NODE_302_length_4079_cov_15.802349	2259	3062	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
