#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_14_length_194620_cov_102.036414	91350	91837	mgtC	22-509/696	===========....	0/0	70.11	76.43	vfdb	NP_462663	(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_15_length_178517_cov_131.876474	66138	66695	fimA	42-599/606	========/======	2/2	91.91	75.31	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_15_length_178517_cov_131.876474	67192	67759	fimE	9-576/597	===============	0/0	95.14	75.53	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_1_length_369608_cov_129.391526	66387	67258	xcpR	307-1178/1509	..======/===...	10/16	57.26	75.68	vfdb	NP_251793	(xcpR) general secretion pathway protein E [xcp secretion system (VF0084)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_1_length_369608_cov_129.391526	74602	74752	xcpA/pilD	541-691/873	.........===...	0/0	17.30	76.82	vfdb	NP_253218	(xcpA/pilD) type 4 prepilin peptidase PilD [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_4_length_328528_cov_110.329742	264278	265348	ompA	1-1041/1041	========/======	2/30	100.00	83.75	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_5_length_309166_cov_117.942767	140166	142394	fepA	1-2241/2241	========/======	23/64	98.30	78.52	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_5_length_309166_cov_117.942767	148057	148828	fepC	17-788/816	===============	0/0	94.61	80.83	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_5_length_309166_cov_117.942767	148841	149722	fepG	112-993/993	.=======/======	2/2	88.72	79.84	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
/home/murilo/genomes2/Hemo_128/SPADES/scaffolds.fasta	NODE_5_length_309166_cov_117.942767	149836	150804	fepD	46-1011/1017	========/======	3/7	94.79	75.69	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
